"ORF"	"substrate"	"sf"	"fam"	"buriedCD"	"exposedCD"	"adjust"	"CDadjust"	"sbstr"	"sbstr2"
"YCL018W"	"-"	"c.77.1"	"c.77.1.1"	0.571090047393365	0.558823529411765	0.9	0.171090047393365	0	0
"YDL066W"	"+"	"c.77.1"	"c.77.1.1"	0.890829694323144	0.592964824120603	0.9	0.490829694323144	1	1
"YLR174W"	"+"	"c.77.1"	"c.77.1.1"	0.711111111111111	0.556149732620321	0.9	0.311111111111111	1	1
"YOR136W"	"+"	"c.77.1"	"c.77.1.1"	0.402061855670103	0.377142857142857	0.9	0.00206185567010309	1	1
"YNL009W"	"-"	"c.77.1"	"c.77.1.1"	1.06590909090909	0.6575	0.9	0.665909090909091	0	0
"YLR446W"	"-"	"c.45.1"	"c.45.1.2"	0.841025641025641	0.718487394957983	0.7	0.641025641025641	0	0
"YNL099C"	"-"	"c.45.1"	"c.45.1.1"	0.707547169811321	0.378787878787879	0.7	0.507547169811321	0	0
"YDR067C"	"+"	"c.45.1"	"c.45.1.2"	0.6875	0.546875	0.7	0.4875	1	1
"YNL056W"	"+"	"c.45.1"	"c.45.1.1"	0.791208791208791	0.764150943396226	0.7	0.591208791208791	1	1
"YDL230W"	"+"	"c.45.1"	"c.45.1.2"	0.647286821705426	0.463592233009709	0.7	0.447286821705426	1	1
"YJR155W"	"-"	"c.1.7"	"c.1.7.1"	0.409090909090909	0.432835820895522	0.73	0.179090909090909	0	1
"YOL165C"	"-"	"c.1.7"	"c.1.7.1"	0.289473684210526	0.466666666666667	0.73	0.0594736842105263	0	1
"YDL243C"	"-"	"c.1.7"	"c.1.7.1"	0.497191011235955	0.54635761589404	0.73	0.267191011235955	0	1
"YOR120W"	"-"	"c.1.7"	"c.1.7.1"	0.565340909090909	0.444852941176471	0.73	0.335340909090909	0	1
"YFL056C"	"-"	"c.1.7"	"c.1.7.1"	0.75	0.633928571428571	0.73	0.52	0	1
"YHR104W"	"+"	"c.1.7"	"c.1.7.1"	0.805699481865285	0.667910447761194	0.73	0.575699481865285	1	0
"YDR368W"	"+"	"c.1.7"	"c.1.7.1"	0.734104046242775	0.482014388489209	0.73	0.504104046242775	1	0
"YFL057C"	"-"	"c.1.7"	"c.1.7.1"	0.509259259259259	0.668367346938776	0.73	0.279259259259259	0	1
"YNL090W"	"+"	"c.37.1"	"c.37.1.8"	0.344444444444444	0.392156862745098	0.57	0.274444444444444	1	1
"YMR138W"	"+"	"c.37.1"	"c.37.1.8"	0.723958333333333	0.615789473684211	0.57	0.653958333333333	1	1
"YKR059W"	"+"	"c.37.1"	"c.37.1.19"	0.534090909090909	0.359315589353612	0.57	0.464090909090909	1	1
"YOR094W"	"-"	"c.37.1"	"c.37.1.8"	0.395833333333333	0.482758620689655	0.57	0.325833333333333	0	0
"YBR164C"	"+"	"c.37.1"	"c.37.1.8"	0.704081632653061	0.552941176470588	0.57	0.634081632653061	1	1
"YKR014C"	"+"	"c.37.1"	"c.37.1.8"	0.474747474747475	0.37037037037037	0.57	0.404747474747475	1	1
"YNL093W"	"-"	"c.37.1"	"c.37.1.8"	0.415841584158416	0.521008403361345	0.57	0.345841584158416	0	0
"YDL084W"	"+"	"c.37.1"	"c.37.1.19"	0.636170212765957	0.447867298578199	0.57	0.566170212765957	1	1
"YOR185C"	"+"	"c.37.1"	"c.37.1.8"	0.404255319148936	0.436507936507937	0.57	0.334255319148936	1	1
"YFL005W"	"+"	"c.37.1"	"c.37.1.8"	0.635294117647059	0.438461538461538	0.57	0.565294117647059	1	1
"YDR021W"	"+"	"c.37.1"	"c.37.1.19"	0.686695278969957	0.463855421686747	0.57	0.616695278969957	1	1
"YHR022C"	"-"	"c.37.1"	"c.37.1.8"	0.47008547008547	0.496402877697842	0.57	0.40008547008547	0	0
"YJR057W"	"-"	"c.37.1"	"c.37.1.1"	0.983193277310924	0.587628865979381	0.57	0.913193277310924	0	0
"YHR065C"	"-"	"c.37.1"	"c.37.1.19"	0.787037037037037	0.491341991341991	0.57	0.717037037037037	0	0
"YFL038C"	"+"	"c.37.1"	"c.37.1.8"	0.647959183673469	0.513888888888889	0.57	0.577959183673469	1	1
"YDR248C"	"-"	"c.37.1"	"c.37.1.17"	0.728915662650602	0.604545454545454	0.57	0.658915662650602	0	0
"YFL066C"	"+"	"c.37.1"	"c.37.1.19"	0.497826086956522	0.459876543209877	0.57	0.427826086956522	1	1
"YCR027C"	"+"	"c.37.1"	"c.37.1.8"	0.556122448979592	0.436936936936937	0.57	0.486122448979592	1	1
"YBR264C"	"+"	"c.37.1"	"c.37.1.8"	0.274725274725275	0.416666666666667	0.57	0.204725274725275	1	1
"YOR089C"	"+"	"c.37.1"	"c.37.1.8"	0.388297872340426	0.40948275862069	0.57	0.318297872340426	1	1
"YGR205W"	"-"	"c.37.1"	"c.37.1.6"	1.0777027027027	0.566901408450704	0.57	1.0077027027027	0	0
"YLR293C"	"+"	"c.37.1"	"c.37.1.8"	0.405940594059406	0.38135593220339	0.57	0.335940594059406	1	1
"YGL091C"	"-"	"c.37.1"	"c.37.1.10"	0.768518518518518	0.521084337349398	0.57	0.698518518518519	0	0
"YIL003W"	"+"	"c.37.1"	"c.37.1.10"	0.394039735099338	0.426056338028169	0.57	0.324039735099338	1	1
"YKL154W"	"-"	"c.37.1"	"c.37.1.8"	0.593137254901961	0.341549295774648	0.57	0.523137254901961	0	0
"YBR227C"	"-"	"c.37.1"	"c.37.1.20"	0.575384615384615	0.487179487179487	0.57	0.505384615384615	0	0
"YNL202W"	"-"	"c.2.1"	"c.2.1.2"	0.420529801324503	0.351063829787234	0.48	0.440529801324503	0	0
"YKL107W"	"-"	"c.2.1"	"c.2.1.2"	0.570588235294118	0.712230215827338	0.48	0.590588235294118	0	0
"YDL114W"	"-"	"c.2.1"	"c.2.1.2"	1.04242424242424	0.748251748251748	0.48	1.06242424242424	0	0
"YLR426W"	"+"	"c.2.1"	"c.2.1.2"	0.714285714285714	0.588607594936709	0.48	0.734285714285714	1	1
"YOR246C"	"+"	"c.2.1"	"c.2.1.2"	0.608333333333333	0.73	0.48	0.628333333333333	1	1
"YKL055C"	"-"	"c.2.1"	"c.2.1.2"	0.589655172413793	0.582706766917293	0.48	0.609655172413793	0	0
"YPL033C"	"-"	"c.2.1"	"c.2.1.2"	0.618421052631579	0.674418604651163	0.48	0.638421052631579	0	0
"YBR159W"	"-"	"c.2.1"	"c.2.1.2"	0.698275862068966	0.528901734104046	0.48	0.718275862068966	0	0
"YMR090W"	"-"	"c.2.1"	"c.2.1.2"	0.341346153846154	0.443089430894309	0.48	0.361346153846154	0	0
"YNL181W"	"+"	"c.2.1"	"c.2.1.2"	0.693717277486911	0.553240740740741	0.48	0.713717277486911	1	1
"YKL071W"	"-"	"c.2.1"	"c.2.1.2"	0.526515151515151	0.600806451612903	0.48	0.546515151515152	0	0
"YER004W"	"+"	"c.2.1"	"c.2.1.2"	0.515	0.583969465648855	0.48	0.535	1	1
"YIR036C"	"+"	"c.2.1"	"c.2.1.2"	0.240601503759398	0.315384615384615	0.48	0.260601503759399	1	1
"YIL124W"	"+"	"c.2.1"	"c.2.1.2"	0.567901234567901	0.688888888888889	0.48	0.587901234567901	1	1
"YGR019W"	"+"	"c.67.1"	"c.67.1.4"	0.894	0.699095022624434	0.57	0.824	1	0
"YNR058W"	"-"	"c.67.1"	"c.67.1.4"	0.563405797101449	0.541666666666667	0.57	0.493405797101449	0	1
"YLR438W"	"-"	"c.67.1"	"c.67.1.4"	0.48471615720524	0.528205128205128	0.57	0.41471615720524	0	1
"YLR027C"	"+"	"c.67.1"	"c.67.1.1"	0.753138075313807	0.541899441340782	0.57	0.683138075313808	1	0
"YBR263W"	"+"	"c.67.1"	"c.67.1.4"	0.550877192982456	0.609756097560976	0.57	0.480877192982456	1	0
"YEL066W"	"+"	"d.108.1"	"d.108.1.1"	0.622950819672131	0.398305084745763	0.68	0.442950819672131	1	1
"YPR193C"	"-"	"d.108.1"	"d.108.1.1"	0.693548387096774	0.51063829787234	0.68	0.513548387096774	0	0
"YPR131C"	"+"	"d.108.1"	"d.108.1.1"	0.889705882352941	0.578740157480315	0.68	0.709705882352941	1	1
"YDR071C"	"+"	"d.108.1"	"d.108.1.1"	0.926470588235294	0.788617886178862	0.68	0.746470588235294	1	1
"YFL017C"	"+"	"d.108.1"	"d.108.1.1"	0.641791044776119	0.5	0.68	0.461791044776119	1	1
"YIR042C"	"-"	"d.108.1"	"d.108.1.1"	0.688679245283019	0.484615384615385	0.68	0.508679245283019	0	0
"YDR183W"	"-"	"c.47.1"	"c.47.1.6"	0.517045454545455	0.461267605633803	0.35	0.667045454545455	0	0
"YKL026C"	"-"	"c.47.1"	"c.47.1.10"	0.83125	0.488505747126437	0.35	0.98125	0	0
"YDR453C"	"-"	"c.47.1"	"c.47.1.10"	0.418367346938776	0.387755102040816	0.35	0.568367346938776	0	0
"YCL035C"	"-"	"c.47.1"	"c.47.1.1"	0.564814814814815	0.419642857142857	0.35	0.714814814814815	0	0
"YCR083W"	"+"	"c.47.1"	"c.47.1.1"	0.681818181818182	0.645833333333333	0.35	0.831818181818182	1	1
"YIL010W"	"-"	"c.47.1"	"c.47.1.10"	0.708333333333333	0.400763358778626	0.35	0.858333333333333	0	0
"YHR057C"	"+"	"b.62.1"	"b.62.1.1"	0.377551020408163	0.401869158878505	0.4	0.477551020408163	1	1
"YDR304C"	"-"	"b.62.1"	"b.62.1.1"	0.427884615384615	0.384297520661157	0.4	0.527884615384615	0	0
"YML078W"	"-"	"b.62.1"	"b.62.1.1"	0.495	0.445121951219512	0.4	0.595	0	0
"YDR155C"	"+"	"b.62.1"	"b.62.1.1"	0.356382978723404	0.301470588235294	0.4	0.456382978723404	1	1
"YOR026W"	"+"	"b.69.4"	"b.69.4.1"	0.708762886597938	0.534013605442177	0.77	0.438762886597938	1	1
"YLR043C"	"+"	"c.47.1"	"c.47.1.1"	0.33	0.594339622641509	0.35	0.48	1	1
"YDL192W"	"-"	"c.37.1"	"c.37.1.8"	0.361842105263158	0.595238095238095	0.57	0.291842105263158	0	0
"YGL004C"	"+"	"b.69.4"	"b.69.4.1"	0.428015564202335	0.4625	0.77	0.158015564202335	1	1
